,Transplant Year,Age Group,N,Graft Survival Rate ,Patient Survival Rate,All ABO,O,A,B,AB,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
146,1989,6-10 Years,104,24.31,82.05,146,72,49,23,2,36,1,45,2,2,0,29,4,1,0,26,155,37,26,0,6,3,1,0
147,1989,11-17 Years,266,37.04,78.03,366,163,139,49,15,51,0,160,2,1,1,74,8,6,3,60,290,100,71,0,15,4,1,0
148,1989,18-34,2059,35.28,63.99,2697,1198,1056,344,99,79,508,1207,211,3,2,344,46,32,21,244,2463,595,278,3,95,23,11,0
149,1989,35-49,2630,27.87,42.94,3200,1516,1178,349,156,23,748,1073,423,3,4,321,308,88,15,194,3418,793,335,4,99,48,4,0
150,1989,50-64,1688,20.2,23.17,1918,860,727,234,97,6,366,550,331,7,1,190,293,52,3,119,2597,503,216,8,81,19,2,0
151,1989,65+,191,14.35,11.16,205,85,78,31,11,1,21,59,45,3,0,30,21,6,0,19,250,25,8,0,7,2,0,0
152,1988,<1 Year,7,0,0,8,3,4,1,0,1,0,0,0,0,0,3,1,0,0,3,98,19,9,0,3,0,1,0
153,1988,1-5 Years,81,34.87,77.27,119,51,50,13,5,45,0,16,0,1,0,31,7,0,2,17,200,48,50,2,12,0,0,0
154,1988,6-10 Years,83,36.1,81.79,123,58,52,10,3,29,0,44,1,0,0,15,3,0,1,30,155,33,23,1,1,1,1,0
155,1988,11-17 Years,271,27.59,80.51,407,182,163,44,18,76,0,177,8,2,1,65,11,2,3,62,356,103,62,3,11,4,0,0
156,1988,18-34,2076,33.78,62.24,2794,1286,1060,322,125,88,593,1220,199,2,1,375,51,20,10,235,2419,603,303,3,83,16,7,0
157,1988,35-49,2579,27.71,42.55,3289,1486,1274,383,146,32,780,1104,465,5,3,322,337,32,8,201,3196,838,291,5,109,43,1,0
158,1988,50-64,1654,19.17,21.72,1926,876,730,232,88,2,333,561,374,5,1,190,322,24,2,112,2487,490,179,6,60,20,3,0
159,1988,65+,195,0,8.78,212,98,80,17,17,0,17,66,51,4,0,28,33,1,1,11,219,28,11,1,4,2,0,0
