,,All Diagnoses,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases
1993,< 1 Year,6,2,0,1,0,0,0,2,0,0,0,1
,1-5 Years,145,57,0,23,0,2,0,28,10,1,2,22
,6-10 Years,135,46,0,36,0,1,0,32,1,0,2,17
,11-17 Years,376,60,1,156,8,1,0,100,10,0,3,37
,18-34 Years,"2,815",78,457,"1,246",261,6,0,468,41,22,37,199
,35-49 Years,"3,759",29,856,"1,153",624,5,0,445,380,36,38,193
,50-64 Years,"2,674",4,636,632,500,9,1,310,392,38,13,139
,65 +,450,3,81,104,94,2,1,68,48,19,3,27
1992,< 1 Year,4,0,0,0,0,0,0,1,1,0,0,2
,1-5 Years,121,40,0,20,0,1,0,31,16,0,2,11
,6-10 Years,122,30,0,32,3,1,0,30,8,1,1,16
,11-17 Years,344,77,0,139,4,1,0,62,7,0,3,51
,18-34 Years,"2,722",64,422,"1,212",297,3,0,428,53,12,29,202
,35-49 Years,"3,630",22,805,"1,151",674,3,0,395,346,16,29,189
,50-64 Years,"2,375",13,506,568,477,10,0,248,395,23,15,120
,65 +,420,1,46,110,109,4,0,62,40,16,3,29
1991,< 1 Year,10,7,0,1,0,0,0,1,0,0,0,1
,1-5 Years,120,35,0,25,1,1,0,35,12,0,2,9
,6-10 Years,163,48,0,53,2,0,0,28,4,2,4,22
,11-17 Years,348,61,1,137,3,2,0,77,12,2,3,50
,18-34 Years,"2,867",58,489,"1,267",266,1,5,464,46,12,29,230
,35-49 Years,"3,589",26,865,"1,139",578,3,2,401,321,24,25,205
,50-64 Years,"2,243",3,493,590,428,6,2,221,356,27,6,111
,65 +,338,0,46,105,79,1,0,47,32,6,1,21
1990,< 1 Year,8,1,0,0,0,0,0,3,2,1,0,1
,1-5 Years,116,27,0,19,3,2,0,36,6,1,1,21
,6-10 Years,146,40,0,39,0,0,0,35,5,1,4,22
,11-17 Years,372,73,1,141,10,2,1,80,9,4,0,51
,18-34 Years,"2,842",84,525,"1,260",177,4,6,383,49,77,15,262
,35-49 Years,"3,461",20,777,"1,144",437,4,8,332,367,152,16,204
,50-64 Years,"2,175",8,417,596,330,8,4,226,339,115,8,124
,65 +,296,0,28,96,55,6,0,42,33,18,1,17
1989,< 1 Year,6,1,0,0,0,0,0,4,0,0,0,1
,1-5 Years,118,47,0,10,0,1,0,34,8,3,0,15
,6-10 Years,146,36,1,45,2,2,0,29,4,1,0,26
,11-17 Years,366,51,0,160,2,1,1,74,8,6,3,60
,18-34 Years,"2,697",79,508,"1,207",211,3,2,344,46,32,21,244
,35-49 Years,"3,200",23,748,"1,073",423,3,4,321,308,88,15,194
,50-64 Years,"1,918",6,366,550,331,7,1,190,293,52,3,119
,65 +,205,1,21,59,45,3,0,30,21,6,0,19
1988,< 1 Year,8,1,0,0,0,0,0,3,1,0,0,3
,1-5 Years,119,45,0,16,0,1,0,31,7,0,2,17
,6-10 Years,123,29,0,44,1,0,0,15,3,0,1,30
,11-17 Years,407,76,0,177,8,2,1,65,11,2,3,62
,18-34 Years,"2,794",88,593,"1,220",199,2,1,375,51,20,10,235
,35-49 Years,"3,289",32,780,"1,104",465,5,3,322,337,32,8,201
,50-64 Years,"1,926",2,333,561,374,5,1,190,322,24,2,112
,65 +,212,0,17,66,51,4,0,28,33,1,1,11
